                                     CONJ                             ADV                             DET                             ADP                             PRT                             ADJ                             NUM                            VERB                            NOUN                               X                            PRON                               .
results     (2.0517715415071925e+49, ADJ)    (4.636233845321015e+49, ADV)   (4.898873639325742e+49, VERB)    (6.177717402058146e+49, ADJ)     (2.3827496101653503e+49, X)    (6.256877859450931e+49, ADJ)   (2.3198325304056543e+49, ADJ)   (1.2025311068026699e+50, ADV)    (6.587946296203873e+51, ADJ)   (8.822565277481732e+49, VERB)  (1.8111256912921406e+49, VERB)    (5.124376145105793e+49, ADV)
better     (1.5391063779654535e+46, PRON)   (9.084155757954567e+47, PRON)   (4.1028441625027847e+46, ADP)      (4.840257301693546e+46, X)      (8.815132471778984e+46, X)  (1.7701565396215335e+48, PRON)   (1.981736938475773e+46, PRON)      (7.709790167169e+47, PRON)   (2.093732110181745e+47, PRON)   (2.018380942606764e+47, PRON)       (2.73912459453344e+46, X)   (6.990094183384944e+46, PRON)
us          (5.642266231425846e+43, NOUN)  (3.4277085204629306e+44, VERB)   (4.146244706661799e+44, VERB)  (2.6768767802664367e+44, VERB)  (1.3133535786296986e+44, VERB)  (2.2620350973390908e+44, VERB)   (9.369582230550087e+43, VERB)   (4.243537758835672e+44, VERB)   (1.744432394124725e+44, VERB)   (7.467127604044835e+44, VERB)   (4.138767619492101e+45, VERB)   (1.932774863411316e+44, NOUN)
yield      (1.2853381686944653e+40, VERB)  (1.8175194755530047e+41, VERB)   (2.198518473720343e+41, VERB)  (1.4193959762753652e+41, VERB)   (6.963969349191712e+40, VERB)  (1.1994289535572825e+41, VERB)   (4.968158196695276e+40, VERB)   (6.525311535591558e+42, VERB)  (1.9424446397753896e+42, VERB)  (3.9593943784222375e+41, VERB)   (8.127977130439588e+40, VERB)   (5.028984066403012e+40, VERB)
can        (1.8896088061495894e+37, NOUN)   (7.104403309335117e+36, NOUN)  (4.0319612770848746e+36, NOUN)   (5.164381452979657e+37, NOUN)  (1.8290657471373519e+37, NOUN)   (1.5475287309428916e+37, DET)    (4.223375929217102e+36, NUM)  (3.4600027187803584e+39, NOUN)   (8.327439602668031e+37, NOUN)   (9.931077489482037e+36, NOUN)  (2.0242089375081802e+36, NOUN)   (6.472910444857996e+37, NOUN)
rules      (5.9180851113661314e+32, NOUN)    (8.084810510758055e+33, ADP)   (1.4210662991482316e+35, ADP)     (7.09236727214614e+33, ADP)    (9.022362715598642e+32, ADP)    (5.253322116714573e+34, ADP)   (3.6469154997584153e+34, ADP)    (3.003843663146065e+33, ADP)   (6.5052947631825745e+35, ADP)   (1.6949832029874463e+34, ADP)    (4.220308947487652e+34, ADP)   (1.5313197696113723e+34, ADP)
with           (1.963987650411639e+30, .)   (2.2788811090569552e+30, ADP)    (4.005586945466629e+31, ADP)   (9.271664310760858e+32, NOUN)       (3.53405347402247e+30, X)   (1.4807640223158973e+31, ADP)   (1.0279630954451652e+31, ADP)   (3.263408265292635e+30, PRON)    (2.037399908263929e+31, ADP)   (4.7776817976340764e+30, ADP)    (1.189586610844622e+31, ADP)    (4.316360526012628e+30, ADP)
along         (1.7933639787547217e+28, .)     (1.4442775998110974e+28, .)    (4.822688398935764e+28, ADP)   (2.613421875403902e+29, NOUN)   (1.322277067417684e+28, NOUN)   (1.7828257304629343e+28, ADP)     (3.1279955137681713e+28, .)   (2.660980804456521e+28, NOUN)  (3.0100564821541366e+28, NOUN)  (2.9936280974253038e+28, VERB)     (1.7518620046355382e+28, .)   (4.679427764737097e+28, NOUN)
algorithm   (7.587214478263736e+25, NOUN)  (3.0287172714128186e+25, NOUN)  (2.3316805583008638e+25, NOUN)   (3.146534960200965e+26, NOUN)    (7.82161584680767e+25, NOUN)   (3.8004320644460016e+25, ADJ)  (1.6901599936946032e+25, NOUN)  (2.6160468915542392e+26, NOUN)   (4.702839192965723e+26, NOUN)   (5.169175171993798e+25, NOUN)   (8.389115266916622e+24, NOUN)  (4.2728971298293774e+26, NOUN)
Viterbi     (1.9827826715185953e+21, DET)    (4.401777405748385e+22, DET)   (1.9431269817912536e+22, DET)    (3.251763573224503e+22, DET)   (1.1896695827461738e+21, DET)    (7.094395999830166e+23, DET)    (7.693196628370264e+22, DET)    (1.376051098616868e+23, DET)   (2.2088198908288197e+24, DET)   (1.5822604754832194e+23, DET)   (1.2689808613759412e+22, DET)    (6.146626301872628e+22, DET)
the          (6.22204181603921e+16, VERB)   (8.798215484289884e+17, VERB)   (4.298525449116998e+21, VERB)   (6.870986432211402e+17, VERB)   (3.371105717672505e+17, VERB)   (3.483704263577406e+18, VERB)   (4.809954111910295e+17, VERB)  (1.0892279607518797e+18, VERB)    (8.95519091524866e+17, VERB)   (1.916656486888299e+18, VERB)   (3.934576504234115e+17, VERB)   (2.434421533216948e+17, VERB)
using              (838963296697505.4, .)          (675655310822768.8, .)         (1344709450858994.0, .)          (647900732412852.9, .)          (39142662243418.74, .)          (487914710084441.0, .)         (1463324489269712.2, .)     (1.6749118733264804e+16, .)          (906470568158865.6, .)         (308183397016178.56, .)          (819548033851274.9, .)          (820926823408752.4, .)
,              (1194306580.1938984, NOUN)       (1499508693.3393095, ADP)        (26356848642.88172, ADP)      (3264090817.0263133, NOUN)      (1156041001.8752196, NOUN)        (9743459259.116957, ADP)         (6764019377.42987, ADP)       (2326443520.012229, NOUN)        (13406135414.91303, ADP)       (3143724945.1446595, ADP)         (7827505600.67491, ADP)       (19989271028964.15, NOUN)
above          (3932515.5664682006, NOUN)       (12841512.20423911, VERB)       (5177808.018848371, VERB)      (171963724.03793225, NOUN)      (3806517.7825711356, NOUN)        (57970865.30119401, DET)        (7910443.024853436, NUM)       (14725051.64873978, PRON)       (41116004.098230295, DET)       (9324908.663462793, VERB)       (1914248.420746252, VERB)      (13470947.532588692, NOUN)
seen           (2047.0744444507802, NOUN)       (15142.964771299248, ADP)       (266167.73364134884, ADP)       (13284.104507373877, ADP)       (1981.486186982099, NOUN)        (98395.46844028268, ADP)        (68307.24463271163, ADP)       (81487.73838694142, PRON)        (135383.4340601308, ADP)       (31747.275828702444, ADP)         (79046.9852456843, ADP)        (28681.83650558417, ADP)
As              (35.0656705450092, Start)      (67.36081104463665, Start)     (111.85014045622665, Start)     (1736.5958774462342, Start)     (0.9779695631095819, Start)     (21.942767034488497, Start)      (5.428240115179506, Start)      (3.824801808605116, Start)      (70.47396593407029, Start)     (12.185904552097782, Start)      (48.60469744016882, Start)     (33.894050375238294, Start)
